multiple_orgs_spoken_to,multiple_org_names_in_BX,BX_spelling,org_spoken_at,Match SubTiesToCode,date_of_speech,year_of_speech,chair_hfsc_name,chair_hfsc_total_raised,chair_hfsc_contribution_from_org,chair_rank_of_contribution,rkmem_hfsc_name,rnkmem_hfsc_total_raised,rnkmem_hfsc_contribution_from_org,rnkmem_rank_of_contribution,name_of_fed_speaker,years_experience_in_tied_org,TieDistanceYrs,org_tie_role,years_to_tie,speech_name,vars.link,raw_spoke_to,spoke_to,finallist,Notes,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
,,,Basel Committee of Banking Supervision,,13 Jun 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,Bank supervision in a world economy,http://www.federalreserve.gov/boarddocs/speeches/1996/19960613.htm,"At the International Conference of Banking Supervisors, Stockholm, Sweden",International Conference of Banking Supervisors,Basel Committee of Banking Supervision,, Stockholm, Sweden,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,CyberPayments,,18 Jun 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Edward W. Kelley,Not Found in Fed Boardex,,,,Developments in electronic money and banking,http://www.federalreserve.gov/boarddocs/speeches/1996/19960618.htm,"At the CyberPayments '96 Conference, Dallas, Texas",CyberPayments '96 Conference,CyberPayments,, Dallas, Texas,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,National Association for Business Economics,National Association of Business Economists,1,8 Sep 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Laurence H. Meyer,none,,,,Monetary policy objectives and strategy,http://www.federalreserve.gov/boarddocs/speeches/1996/19960908.htm,"At the National Association of Business Economists 38th Annual Meeting, Boston, Massachusetts",National Association of Business Economists 38th Annual Meeting,National Association of Business Economists,, Boston, Massachusetts,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,U.S. Treasury,,19 Sep 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,Regulation and electronic payment systems,http://www.federalreserve.gov/boarddocs/speeches/1996/19960919.htm,"At the U.S. Treasury Conference on Electronic Money & Banking: The Role of Government, Washington, D.C.",U.S. Treasury Conference on Electronic Money & Banking: The Role of Government,U.S. Treasury,, Washington, D.C.,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,,America’s Small Business Development Center Network,,2 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Lawrence B. Lindsey,none,,,,Small business is big business,http://www.federalreserve.gov/boarddocs/speeches/1996/19961002.htm,"At the Small Business Development Conference, Richmond, Virginia",Small Business Development Conference,America’s Small Business Development Center Network,, Richmond, Virginia,Lawrence B. Lindsey,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,1,American Bankers Association (ABA),American Bankers Association,1,5 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,"Bank supervision, regulation, and risk",http://www.federalreserve.gov/boarddocs/speeches/1996/19961005.htm,"At the Annual Convention of the American Bankers Association, Honolulu, Hawaii",Annual Convention of the American Bankers Association,American Bankers Association,, Honolulu, Hawaii,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,Public Securities Association,,7 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,U.S. Treasury securities market: Lessons from Alexander Hamilton,http://www.federalreserve.gov/boarddocs/speeches/1996/19961007.htm,"At the Annual Public Service Awards Dinner of the Public Securities Association, New York, New York",Annual Public Service Awards Dinner of the Public Securities Association, Public Securities Association,, New York, New York,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Federal Reserve Bank of Dallas,Dallas Federal Reserve,1,9 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Lawrence B. Lindsey,Fed-Fed,,,,Here we go again?,http://www.federalreserve.gov/boarddocs/speeches/1996/19961009.htm,"At the Community Development Lending Conference, Dallas, Texas",Community Development Lending Conference,Dallas Federal Reserve,, Dallas, Texas,Lawrence B. Lindsey,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
,,,Atlantic Economic Society,,11 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Lawrence B. Lindsey,Not Found in Fed Boardex,,,,How to grow faster,http://www.federalreserve.gov/boarddocs/speeches/1996/19961011.htm,"At the Atlantic Economic Society, Washington, D.C.",Atlantic Economic Society,Atlantic Economic Society,, Washington, D.C.,Lawrence B. Lindsey,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
,,,The Conference Board,,16 Oct 1996,1996,"Leach, James A.S.",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,"McCollum, Bill",NO DATA AVAILABLE,NO DATA AVAILABLE,NO DATA AVAILABLE,Alan Greenspan,none,,,,Technological advances and productivity,http://www.federalreserve.gov/boarddocs/speeches/1996/19961016.htm,"At the 80th Anniversary Awards Dinner of The Conference Board, New York, New York",80th Anniversary Awards Dinner of The Conference Board, The Conference Board,, New York, New York,Alan Greenspan,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
